screenname,instanceID,yPlot,instance,time,result
2opt,1,2251.56,101_11_2.vrp,0.44,2251.56
2opt,2,940.25,101_8_1.vrp,0.35,940.25
2opt,3,1317.1,121_7_1.vrp,1.74,1317.1
2opt,4,1324.38,135_7_1.vrp,1.21,1324.38
2opt,5,3304.96,151_15_1.vrp,2.28,3304.96
2opt,6,356.62,16_5_1.vrp,0.0,356.62
2opt,7,1767.88,200_16_2.vrp,6.9,1767.88
2opt,8,400.24,21_4_1.vrp,0.0,400.24
2opt,9,774.73,241_22_1.vrp,9.55,774.73
2opt,10,6576.56,262_25_1.vrp,11.7,6576.56
2opt,11,609.24,30_4_1.vrp,0.01,609.24
2opt,12,30976.67,386_47_1.vrp,55.62,30976.67
2opt,13,953.95,41_14_1.vrp,0.04,953.95
2opt,14,862.0,45_4_1.vrp,0.12,862.0
2opt,15,567.25,51_5_1.vrp,0.07,567.25
2opt,16,853.49,76_8_2.vrp,0.13,853.49
random,1,7558.34,101_11_2.vrp,0.0,7558.34
random,2,3213.46,101_8_1.vrp,0.0,3213.46
random,3,6602.73,121_7_1.vrp,0.0,6602.73
random,4,6726.72,135_7_1.vrp,0.0,6726.72
random,5,15215.16,151_15_1.vrp,0.0,15215.16
random,6,477.91,16_5_1.vrp,0.0,477.91
random,7,6391.29,200_16_2.vrp,0.0,6391.29
random,8,578.97,21_4_1.vrp,0.0,578.97
random,9,3305.23,241_22_1.vrp,0.0,3305.23
random,10,26096.53,262_25_1.vrp,0.0,26096.53
random,11,1816.45,30_4_1.vrp,0.0,1816.45
random,12,115839.08,386_47_1.vrp,0.01,115839.08
random,13,1282.09,41_14_1.vrp,0.01,1282.09
random,14,2429.75,45_4_1.vrp,0.0,2429.75
random,15,1589.41,51_5_1.vrp,0.0,1589.41
random,16,2597.36,76_8_2.vrp,0.0,2597.36
evo,1,2815.76,101_11_2.vrp,4.48,2815.76
evo,2,901.91,101_8_1.vrp,4.31,901.91
evo,3,1960.03,121_7_1.vrp,4.96,1960.03
evo,4,1694.74,135_7_1.vrp,5.59,1694.74
evo,5,3878.97,151_15_1.vrp,6.47,3878.97
evo,6,394.17,16_5_1.vrp,1.39,394.17
evo,7,3439.22,200_16_2.vrp,8.08,3439.22
evo,8,425.89,21_4_1.vrp,1.39,425.89
evo,9,1343.42,241_22_1.vrp,9.98,1343.42
evo,10,11674.47,262_25_1.vrp,10.9,11674.47
evo,11,452.48,30_4_1.vrp,1.92,452.48
evo,12,53394.78,386_47_1.vrp,16.61,53394.78
evo,13,1163.31,41_14_1.vrp,2.49,1163.31
evo,14,752.83,45_4_1.vrp,3.05,752.83
evo,15,829.18,51_5_1.vrp,2.44,829.18
evo,16,835.41,76_8_2.vrp,3.45,835.41
evo2optsa,1,2042.64,101_11_2.vrp,37.83,2042.64
evo2optsa,2,860.32,101_8_1.vrp,38.38,860.32
evo2optsa,3,1270.23,121_7_1.vrp,51.5,1270.23
evo2optsa,4,1227.87,135_7_1.vrp,77.19,1227.87
evo2optsa,5,3338.7,151_15_1.vrp,95.56,3338.7
evo2optsa,6,361.01,16_5_1.vrp,1.19,361.01
evo2optsa,7,1687.1,200_16_2.vrp,159.82,1687.1
evo2optsa,8,388.64,21_4_1.vrp,1.78,388.64
evo2optsa,9,746.02,241_22_1.vrp,290.0,746.02
evo2optsa,10,6077.78,262_25_1.vrp,290.0,6077.78
evo2optsa,11,538.79,30_4_1.vrp,4.07,538.79
evo2optsa,12,32059.67,386_47_1.vrp,290.0,32059.67
evo2optsa,13,915.59,41_14_1.vrp,4.52,915.59
evo2optsa,14,730.86,45_4_1.vrp,8.47,730.86
evo2optsa,15,566.03,51_5_1.vrp,7.61,566.03
evo2optsa,16,777.91,76_8_2.vrp,20.2,777.91
evo2opt,1,2044.8,101_11_2.vrp,6.31,2044.8
evo2opt,2,907.4,101_8_1.vrp,5.9,907.4
evo2opt,3,1367.94,121_7_1.vrp,9.07,1367.94
evo2opt,4,1358.95,135_7_1.vrp,11.74,1358.95
evo2opt,5,3367.39,151_15_1.vrp,18.82,3367.39
evo2opt,6,352.92,16_5_1.vrp,0.51,352.92
evo2opt,7,1764.49,200_16_2.vrp,38.22,1764.49
evo2opt,8,358.4,21_4_1.vrp,0.47,358.4
evo2opt,9,1146.31,241_22_1.vrp,70.7,1146.31
evo2opt,10,6308.2,262_25_1.vrp,91.56,6308.2
evo2opt,11,506.06,30_4_1.vrp,0.82,506.06
evo2opt,12,27718.65,386_47_1.vrp,290.84,27718.65
evo2opt,13,922.79,41_14_1.vrp,1.37,922.79
evo2opt,14,730.87,45_4_1.vrp,1.8,730.87
evo2opt,15,550.01,51_5_1.vrp,1.34,550.01
evo2opt,16,800.54,76_8_2.vrp,3.11,800.54
sa2opt,1,2310.14,101_11_2.vrp,18.47,2310.14
sa2opt,2,893.84,101_8_1.vrp,16.37,893.84
sa2opt,3,1344.21,121_7_1.vrp,20.13,1344.21
sa2opt,4,1460.28,135_7_1.vrp,19.86,1460.28
sa2opt,5,3557.92,151_15_1.vrp,25.58,3557.92
sa2opt,6,425.44,16_5_1.vrp,290.0,425.44
sa2opt,7,1882.8,200_16_2.vrp,48.16,1882.8
sa2opt,8,554.58,21_4_1.vrp,290.0,554.58
sa2opt,9,822.9,241_22_1.vrp,39.21,822.9
sa2opt,10,6732.04,262_25_1.vrp,43.36,6732.04
sa2opt,11,548.32,30_4_1.vrp,6.87,548.32
sa2opt,12,31543.68,386_47_1.vrp,69.51,31543.68
sa2opt,13,1210.54,41_14_1.vrp,290.0,1210.54
sa2opt,14,826.42,45_4_1.vrp,8.99,826.42
sa2opt,15,582.46,51_5_1.vrp,11.21,582.46
sa2opt,16,819.93,76_8_2.vrp,14.26,819.93
