screenname,instanceID,yPlot,instance,time,result
fed,1,26.15,C1065_064,26.15,SAT
fed,2,279.65,C1065_082,279.65,SAT
fed,3,2.65,C140,2.65,SAT
fed,4,-5,C1597_024,-5,--
fed,5,-5,C1597_060,-5,--
fed,6,-5,C1597_081,-5,--
fed,7,-5,C168_128,-5,--
fed,8,120.46,C181_3151,120.46,SAT
fed,9,-5,C208_120,-5,--
fed,10,-5,C208_3254,-5,--
fed,11,6.27,C210_30,6.27,SAT
fed,12,-5,C210_55,-5,--
fed,13,27.37,C459_4675,27.37,SAT
fed,14,281.30,U50_1065_038,281.30,SAT
fed,15,-5,U50_1065_045,-5,--
fed,16,-5,U50_4450_035,-5,--
fed,17,-5,U75_1597_024,-5,--
neutralneutral,1,59.07,C1065_064,59.07,UNSAT
neutralneutral,2,43.79,C1065_082,43.79,UNSAT
neutralneutral,3,2.40,C140,2.40,SAT
neutralneutral,4,30.60,C1597_024,30.60,SAT
neutralneutral,5,91.87,C1597_060,91.87,SAT
neutralneutral,6,150.30,C1597_081,150.30,SAT
neutralneutral,7,157.28,C168_128,157.28,UNSAT
neutralneutral,8,3.21,C181_3151,3.21,SAT
neutralneutral,9,161.24,C208_120,161.24,UNSAT
neutralneutral,10,113.43,C208_3254,113.43,UNSAT
neutralneutral,11,2.20,C210_30,2.20,UNSAT
neutralneutral,12,96.32,C210_55,96.32,UNSAT
neutralneutral,13,1.51,C459_4675,1.51,SAT
neutralneutral,14,41.95,U50_1065_038,41.95,UNSAT
neutralneutral,15,53.94,U50_1065_045,53.94,UNSAT
neutralneutral,16,-5,U50_4450_035,-5,--
neutralneutral,17,30.12,U75_1597_024,30.12,SAT
carter,1,5.97,C1065_064,5.97,UNSAT
carter,2,3.94,C1065_082,3.94,UNSAT
carter,3,0.07,C140,0.07,SAT
carter,4,0.17,C1597_024,0.17,SAT
carter,5,3.88,C1597_060,3.88,SAT
carter,6,1.71,C1597_081,1.71,SAT
carter,7,18.99,C168_128,18.99,UNSAT
carter,8,0.03,C181_3151,0.03,SAT
carter,9,0.19,C208_120,0.19,UNSAT
carter,10,0.21,C208_3254,0.21,UNSAT
carter,11,0.07,C210_30,0.07,UNSAT
carter,12,0.06,C210_55,0.06,UNSAT
carter,13,0.04,C459_4675,0.04,SAT
carter,14,4.06,U50_1065_038,4.06,UNSAT
carter,15,5.66,U50_1065_045,5.66,UNSAT
carter,16,19.29,U50_4450_035,19.29,SAT
carter,17,0.17,U75_1597_024,0.17,SAT
GreedyGoose,1,243.81,C1065_064,243.81,UNSAT
GreedyGoose,2,214.7,C1065_082,214.7,UNSAT
GreedyGoose,3,0.43,C140,0.43,SAT
GreedyGoose,4,-5,C1597_024,-5,--
GreedyGoose,5,-5,C1597_060,-5,--
GreedyGoose,6,-5,C1597_081,-5,--
GreedyGoose,7,12.98,C168_128,12.98,UNSAT
GreedyGoose,8,0.14,C181_3151,0.14,SAT
GreedyGoose,9,0.25,C208_120,0.25,UNSAT
GreedyGoose,10,0.59,C208_3254,0.59,UNSAT
GreedyGoose,11,0.72,C210_30,0.72,UNSAT
GreedyGoose,12,0.43,C210_55,0.43,UNSAT
GreedyGoose,13,0.5,C459_4675,0.5,SAT
GreedyGoose,14,189.77,U50_1065_038,189.77,UNSAT
GreedyGoose,15,183.3,U50_1065_045,183.3,UNSAT
GreedyGoose,16,-5,U50_4450_035,-5,--
GreedyGoose,17,-5,U75_1597_024,-5,--
EmuBot,1,7.30,C1065_064,7.30,UNSAT
EmuBot,2,7.43,C1065_082,7.43,UNSAT
EmuBot,3,0.70,C140,0.70,SAT
EmuBot,4,249.04,C1597_024,249.04,SAT
EmuBot,5,219.62,C1597_060,219.62,SAT
EmuBot,6,-5,C1597_081,-5,--
EmuBot,7,1.58,C168_128,1.58,UNSAT
EmuBot,8,2.68,C181_3151,2.68,SAT
EmuBot,9,0.72,C208_120,0.72,UNSAT
EmuBot,10,2.39,C208_3254,2.39,UNSAT
EmuBot,11,1.79,C210_30,1.79,UNSAT
EmuBot,12,2.05,C210_55,2.05,UNSAT
EmuBot,13,0.27,C459_4675,0.27,SAT
EmuBot,14,6.60,U50_1065_038,6.60,UNSAT
EmuBot,15,0.26,U50_1065_045,0.26,UNSAT
EmuBot,16,-5,U50_4450_035,-5,--
EmuBot,17,253.09,U75_1597_024,253.09,SAT
Thales,1,12.84,C1065_064,12.84,UNSAT
Thales,2,10.67,C1065_082,10.67,UNSAT
Thales,3,0.45,C140,0.45,SAT
Thales,4,21.18,C1597_024,21.18,SAT
Thales,5,-5,C1597_060,-5,--
Thales,6,267.75,C1597_081,267.75,SAT
Thales,7,1.53,C168_128,1.53,UNSAT
Thales,8,20.84,C181_3151,20.84,SAT
Thales,9,1.03,C208_120,1.03,UNSAT
Thales,10,1.75,C208_3254,1.75,UNSAT
Thales,11,0.77,C210_30,0.77,UNSAT
Thales,12,1.27,C210_55,1.27,UNSAT
Thales,13,0.81,C459_4675,0.81,SAT
Thales,14,10.43,U50_1065_038,10.43,UNSAT
Thales,15,12.76,U50_1065_045,12.76,UNSAT
Thales,16,-5,U50_4450_035,-5,--
Thales,17,183.68,U75_1597_024,183.68,SAT
potato14,1,57.63,C1065_064,57.63,UNSAT
potato14,2,54.74,C1065_082,54.74,UNSAT
potato14,3,1.1,C140,1.1,SAT
potato14,4,57.99,C1597_024,57.99,SAT
potato14,5,-5,C1597_060,-5,--
potato14,6,299.06,C1597_081,299.06,SAT
potato14,7,2.3,C168_128,2.3,UNSAT
potato14,8,26.26,C181_3151,26.26,SAT
potato14,9,1.5,C208_120,1.5,UNSAT
potato14,10,3.85,C208_3254,3.85,UNSAT
potato14,11,2.0,C210_30,2.0,UNSAT
potato14,12,2.03,C210_55,2.03,UNSAT
potato14,13,1.08,C459_4675,1.08,SAT
potato14,14,51.06,U50_1065_038,51.06,UNSAT
potato14,15,59.9,U50_1065_045,59.9,UNSAT
potato14,16,-5,U50_4450_035,-5,--
potato14,17,58.77,U75_1597_024,58.77,SAT
spike,1,17.56,C1065_064,17.56,UNSAT
spike,2,17.03,C1065_082,17.03,UNSAT
spike,3,0.15,C140,0.15,SAT
spike,4,10.11,C1597_024,10.11,SAT
spike,5,61.07,C1597_060,61.07,SAT
spike,6,23.03,C1597_081,23.03,SAT
spike,7,2.07,C168_128,2.07,UNSAT
spike,8,8.50,C181_3151,8.50,SAT
spike,9,1.87,C208_120,1.87,UNSAT
spike,10,0.17,C208_3254,0.17,UNSAT
spike,11,0.21,C210_30,0.21,UNSAT
spike,12,0.34,C210_55,0.34,UNSAT
spike,13,0.87,C459_4675,0.87,SAT
spike,14,17.05,U50_1065_038,17.05,UNSAT
spike,15,16.95,U50_1065_045,16.95,UNSAT
spike,16,96.07,U50_4450_035,96.07,SAT
spike,17,86.43,U75_1597_024,86.43,SAT
1a4e9a57,1,9.091347217559814,C1065_064,9.091347217559814,UNSAT
1a4e9a57,2,7.776686668395996,C1065_082,7.776686668395996,UNSAT
1a4e9a57,3,0.20224285125732422,C140,0.20224285125732422,SAT
1a4e9a57,4,7.65797233581543,C1597_024,7.65797233581543,SAT
1a4e9a57,5,16.667733430862427,C1597_060,16.667733430862427,SAT
1a4e9a57,6,3.5038797855377197,C1597_081,3.5038797855377197,SAT
1a4e9a57,7,20.669923543930054,C168_128,20.669923543930054,UNSAT
1a4e9a57,8,3.0789992809295654,C181_3151,3.0789992809295654,SAT
1a4e9a57,9,0.5244276523590088,C208_120,0.5244276523590088,UNSAT
1a4e9a57,10,6.741130590438843,C208_3254,6.741130590438843,UNSAT
1a4e9a57,11,1.63893723487854,C210_30,1.63893723487854,UNSAT
1a4e9a57,12,2.243791103363037,C210_55,2.243791103363037,UNSAT
1a4e9a57,13,0.13905739784240723,C459_4675,0.13905739784240723,SAT
1a4e9a57,14,7.220133304595947,U50_1065_038,7.220133304595947,UNSAT
1a4e9a57,15,9.154738664627075,U50_1065_045,9.154738664627075,UNSAT
1a4e9a57,16,0.8066921234130859,U50_4450_035,0.8066921234130859,SAT
1a4e9a57,17,7.8399271965026855,U75_1597_024,7.8399271965026855,SAT
anhao,1,85.71,C1065_064,85.71,UNSAT
anhao,2,63.57,C1065_082,63.57,UNSAT
anhao,3,1.30,C140,1.30,SAT
anhao,4,115.98,C1597_024,115.98,SAT
anhao,5,45.61,C1597_060,45.61,SAT
anhao,6,191.78,C1597_081,191.78,SAT
anhao,7,193.39,C168_128,193.39,UNSAT
anhao,8,7.84,C181_3151,7.84,SAT
anhao,9,3.40,C208_120,3.40,UNSAT
anhao,10,61.20,C208_3254,61.20,UNSAT
anhao,11,1.80,C210_30,1.80,UNSAT
anhao,12,1.22,C210_55,1.22,UNSAT
anhao,13,4.30,C459_4675,4.30,SAT
anhao,14,110.55,U50_1065_038,110.55,UNSAT
anhao,15,173.20,U50_1065_045,173.20,UNSAT
anhao,16,-5,U50_4450_035,-5,--
anhao,17,-5,U75_1597_024,-5,--
23cc32,1,243.81,C1065_064,243.81,UNSAT
23cc32,2,214.7,C1065_082,214.7,UNSAT
23cc32,3,0.43,C140,0.43,SAT
23cc32,4,-5,C1597_024,-5,--
23cc32,5,-5,C1597_060,-5,--
23cc32,6,-5,C1597_081,-5,--
23cc32,7,12.98,C168_128,12.98,UNSAT
23cc32,8,0.14,C181_3151,0.14,SAT
23cc32,9,0.25,C208_120,0.25,UNSAT
23cc32,10,0.59,C208_3254,0.59,UNSAT
23cc32,11,0.72,C210_30,0.72,UNSAT
23cc32,12,0.43,C210_55,0.43,UNSAT
23cc32,13,0.5,C459_4675,0.5,SAT
23cc32,14,189.77,U50_1065_038,189.77,UNSAT
23cc32,15,183.3,U50_1065_045,183.3,UNSAT
23cc32,16,-5,U50_4450_035,-5,--
23cc32,17,-5,U75_1597_024,-5,--
quebec,1,-5,C1065_064,-5,--
quebec,2,-5,C1065_082,-5,--
quebec,3,4.89,C140,4.89,SAT
quebec,4,34.28,C1597_024,34.28,SAT
quebec,5,280.31,C1597_060,280.31,SAT
quebec,6,260.50,C1597_081,260.50,SAT
quebec,7,153.11,C168_128,153.11,UNSAT
quebec,8,52.48,C181_3151,52.48,SAT
quebec,9,18.22,C208_120,18.22,UNSAT
quebec,10,150.52,C208_3254,150.52,UNSAT
quebec,11,88.50,C210_30,88.50,UNSAT
quebec,12,87.49,C210_55,87.49,UNSAT
quebec,13,21.17,C459_4675,21.17,SAT
quebec,14,-5,U50_1065_038,-5,--
quebec,15,-5,U50_1065_045,-5,--
quebec,16,-5,U50_4450_035,-5,--
quebec,17,4.40,U75_1597_024,4.40,SAT
kdb,1,18.07,C1065_064,18.07,UNSAT
kdb,2,16.31,C1065_082,16.31,UNSAT
kdb,3,1.90,C140,1.90,SAT
kdb,4,4.34,C1597_024,4.34,SAT
kdb,5,46.22,C1597_060,46.22,SAT
kdb,6,20.86,C1597_081,20.86,SAT
kdb,7,2.93,C168_128,2.93,UNSAT
kdb,8,2.66,C181_3151,2.66,SAT
kdb,9,2.56,C208_120,2.56,UNSAT
kdb,10,2.97,C208_3254,2.97,UNSAT
kdb,11,3.52,C210_30,3.52,UNSAT
kdb,12,2.59,C210_55,2.59,UNSAT
kdb,13,3.00,C459_4675,3.00,SAT
kdb,14,15.56,U50_1065_038,15.56,UNSAT
kdb,15,18.14,U50_1065_045,18.14,UNSAT
kdb,16,135.03,U50_4450_035,135.03,SAT
kdb,17,4.43,U75_1597_024,4.43,SAT
Heliod,1,-5,C1065_064,-5,--
Heliod,2,158.27,C1065_082,158.27,UNSAT
Heliod,3,-5,C140,-5,--
Heliod,4,-5,C1597_024,-5,--
Heliod,5,-5,C1597_060,-5,--
Heliod,6,-5,C1597_081,-5,--
Heliod,7,9.30,C168_128,9.30,UNSAT
Heliod,8,-5,C181_3151,-5,--
Heliod,9,-5,C208_120,-5,--
Heliod,10,-5,C208_3254,-5,--
Heliod,11,-5,C210_30,-5,--
Heliod,12,-5,C210_55,-5,--
Heliod,13,-5,C459_4675,-5,--
Heliod,14,-5,U50_1065_038,-5,--
Heliod,15,-5,U50_1065_045,-5,--
Heliod,16,-5,U50_4450_035,-5,--
Heliod,17,-5,U75_1597_024,-5,--
appleby,1,99.65,C1065_064,99.65,UNSAT
appleby,2,69.54,C1065_082,69.54,UNSAT
appleby,3,0.55,C140,0.55,SAT
appleby,4,426.10,C1597_024,426.10,SAT
appleby,5,-5,C1597_060,-5,--
appleby,6,92.70,C1597_081,92.70,SAT
appleby,7,1650.61,C168_128,1650.61,UNSAT
appleby,8,14.25,C181_3151,14.25,SAT
appleby,9,2.18,C208_120,2.18,UNSAT
appleby,10,69.43,C208_3254,69.43,UNSAT
appleby,11,0.29,C210_30,0.29,UNSAT
appleby,12,0.25,C210_55,0.25,UNSAT
appleby,13,0.60,C459_4675,0.60,SAT
appleby,14,68.03,U50_1065_038,68.03,UNSAT
appleby,15,93.37,U50_1065_045,93.37,UNSAT
appleby,16,1941.06,U50_4450_035,1941.06,SAT
appleby,17,551.33,U75_1597_024,551.33,SAT
plants-office-dollar,1,-5,C1065_064,-5,--
plants-office-dollar,2,-5,C1065_082,-5,--
plants-office-dollar,3,4.89,C140,4.89,SAT
plants-office-dollar,4,34.28,C1597_024,34.28,SAT
plants-office-dollar,5,280.31,C1597_060,280.31,SAT
plants-office-dollar,6,260.50,C1597_081,260.50,SAT
plants-office-dollar,7,153.11,C168_128,153.11,UNSAT
plants-office-dollar,8,52.48,C181_3151,52.48,SAT
plants-office-dollar,9,18.22,C208_120,18.22,UNSAT
plants-office-dollar,10,150.52,C208_3254,150.52,UNSAT
plants-office-dollar,11,88.50,C210_30,88.50,UNSAT
plants-office-dollar,12,87.49,C210_55,87.49,UNSAT
plants-office-dollar,13,21.17,C459_4675,21.17,SAT
plants-office-dollar,14,-5,U50_1065_038,-5,--
plants-office-dollar,15,-5,U50_1065_045,-5,--
plants-office-dollar,16,-5,U50_4450_035,-5,--
plants-office-dollar,17,4.40,U75_1597_024,4.40,SAT
albus,1,21.78,C1065_064,21.78,UNSAT
albus,2,18.71,C1065_082,18.71,UNSAT
albus,3,0.43,C140,0.43,SAT
albus,4,204.07,C1597_024,204.07,SAT
albus,5,286.81,C1597_060,286.81,SAT
albus,6,583.09,C1597_081,583.09,SAT
albus,7,2.18,C168_128,2.18,UNSAT
albus,8,1.35,C181_3151,1.35,SAT
albus,9,1.84,C208_120,1.84,UNSAT
albus,10,10.19,C208_3254,10.19,UNSAT
albus,11,0.7,C210_30,0.7,UNSAT
albus,12,1.41,C210_55,1.41,UNSAT
albus,13,0.75,C459_4675,0.75,SAT
albus,14,18.17,U50_1065_038,18.17,UNSAT
albus,15,20.21,U50_1065_045,20.21,UNSAT
albus,16,1480.63,U50_4450_035,1480.63,SAT
albus,17,215.13,U75_1597_024,215.13,SAT
