screenname,instanceID,yPlot,instance,result,time
TA_SOLUTION,1,14540.0,C10_40_100.scm,0.89,14540.0
TA_SOLUTION,2,16481.0,C10_50_300.scm,1.01,16481.0
TA_SOLUTION,3,10560.0,C18_100_150.scm,2.85,10560.0
TA_SOLUTION,4,10836.0,C18_40_80.scm,2.41,10836.0
TA_SOLUTION,5,2502.0,C1_40_150.scm,0.24,2502.0
TA_SOLUTION,6,1937.0,C1_50_100.scm,0.26,1937.0
TA_SOLUTION,7,10532.0,R18_100_100.scm,2.72,10532.0
TA_SOLUTION,8,14175.0,R18_50_300.scm,2.94,14175.0
TA_SOLUTION,9,1558.0,R1_100_50.scm,0.20,1558.0
TA_SOLUTION,10,2611.0,R1_40_100.scm,0.24,2611.0
TA_SOLUTION,11,1964.0,R1_40_50.scm,0.20,1964.0
CallousCrow,1,8354.0,C10_40_100.scm,0.26,8354.0
CallousCrow,2,4772.0,C10_50_300.scm,0.24,4772.0
CallousCrow,3,3097.0,C18_100_150.scm,0.28,3097.0
CallousCrow,4,5088.0,C18_40_80.scm,0.31,5088.0
CallousCrow,5,1178.0,C1_40_150.scm,0.19,1178.0
CallousCrow,6,1031.0,C1_50_100.scm,0.19,1031.0
CallousCrow,7,3154.0,R18_100_100.scm,0.28,3154.0
CallousCrow,8,3849.0,R18_50_300.scm,0.31,3849.0
CallousCrow,9,989.0,R1_100_50.scm,0.20,989.0
CallousCrow,10,1775.0,R1_40_100.scm,0.20,1775.0
CallousCrow,11,1775.0,R1_40_50.scm,0.20,1775.0
mutantdog,1,14678.0,C10_40_100.scm,1.23,14678.0
mutantdog,2,16596.0,C10_50_300.scm,0.68,16596.0
mutantdog,3,10603.0,C18_100_150.scm,0.85,10603.0
mutantdog,4,10953.0,C18_40_80.scm,1.16,10953.0
mutantdog,5,2497.0,C1_40_150.scm,0.50,2497.0
mutantdog,6,1916.0,C1_50_100.scm,0.55,1916.0
mutantdog,7,10544.0,R18_100_100.scm,0.75,10544.0
mutantdog,8,14195.0,R18_50_300.scm,0.77,14195.0
mutantdog,9,1524.0,R1_100_50.scm,0.58,1524.0
mutantdog,10,2579.0,R1_40_100.scm,0.40,2579.0
mutantdog,11,1966.0,R1_40_50.scm,0.40,1966.0
GiantClam,1,14536.0,C10_40_100.scm,0.48,14536.0
GiantClam,2,16439.0,C10_50_300.scm,0.44,16439.0
GiantClam,3,10482.0,C18_100_150.scm,0.51,10482.0
GiantClam,4,10828.0,C18_40_80.scm,0.57,10828.0
GiantClam,5,2474.0,C1_40_150.scm,0.41,2474.0
GiantClam,6,1890.0,C1_50_100.scm,0.43,1890.0
GiantClam,7,10471.0,R18_100_100.scm,0.45,10471.0
GiantClam,8,14149.0,R18_50_300.scm,0.44,14149.0
GiantClam,9,1515.0,R1_100_50.scm,0.43,1515.0
GiantClam,10,2574.0,R1_40_100.scm,0.40,2574.0
GiantClam,11,1960.0,R1_40_50.scm,0.40,1960.0
Isabelle,1,14536.0,C10_40_100.scm,0.48,14536.0
Isabelle,2,16439.0,C10_50_300.scm,0.44,16439.0
Isabelle,3,10482.0,C18_100_150.scm,0.48,10482.0
Isabelle,4,10828.0,C18_40_80.scm,0.57,10828.0
Isabelle,5,2474.0,C1_40_150.scm,0.41,2474.0
Isabelle,6,1890.0,C1_50_100.scm,0.44,1890.0
Isabelle,7,10471.0,R18_100_100.scm,0.50,10471.0
Isabelle,8,14149.0,R18_50_300.scm,0.50,14149.0
Isabelle,9,1515.0,R1_100_50.scm,0.46,1515.0
Isabelle,10,2574.0,R1_40_100.scm,0.38,2574.0
Isabelle,11,1960.0,R1_40_50.scm,0.36,1960.0
wefapart,1,15206.0,C10_40_100.scm,0.99,15206.0
wefapart,2,17219.0,C10_50_300.scm,1.07,17219.0
wefapart,3,10929.0,C18_100_150.scm,1.66,10929.0
wefapart,4,11308.0,C18_40_80.scm,1.80,11308.0
wefapart,5,2769.0,C1_40_150.scm,0.20,2769.0
wefapart,6,2125.0,C1_50_100.scm,0.23,2125.0
wefapart,7,10848.0,R18_100_100.scm,1.83,10848.0
wefapart,8,14619.0,R18_50_300.scm,1.47,14619.0
wefapart,9,1673.0,R1_100_50.scm,0.24,1673.0
wefapart,10,2714.0,R1_40_100.scm,0.19,2714.0
wefapart,11,2082.0,R1_40_50.scm,0.19,2082.0
rs,1,14536.0,C10_40_100.scm,0.20,14536.0
rs,2,16439.0,C10_50_300.scm,0.18,16439.0
rs,3,10482.0,C18_100_150.scm,0.18,10482.0
rs,4,10828.0,C18_40_80.scm,0.19,10828.0
rs,5,2474.0,C1_40_150.scm,0.14,2474.0
rs,6,1890.0,C1_50_100.scm,0.15,1890.0
rs,7,10471.0,R18_100_100.scm,0.19,10471.0
rs,8,14149.0,R18_50_300.scm,0.19,14149.0
rs,9,1515.0,R1_100_50.scm,0.13,1515.0
rs,10,2574.0,R1_40_100.scm,0.14,2574.0
rs,11,1960.0,R1_40_50.scm,0.13,1960.0
india,1,14536.0,C10_40_100.scm,0.91,14536.0
india,2,16466.0,C10_50_300.scm,0.89,16466.0
india,3,10729.0,C18_100_150.scm,1.97,10729.0
india,4,10852.0,C18_40_80.scm,2.34,10852.0
india,5,2475.0,C1_40_150.scm,0.30,2475.0
india,6,1893.0,C1_50_100.scm,0.31,1893.0
india,7,10596.0,R18_100_100.scm,1.92,10596.0
india,8,14316.0,R18_50_300.scm,2.41,14316.0
india,9,1525.0,R1_100_50.scm,0.34,1525.0
india,10,2575.0,R1_40_100.scm,0.35,2575.0
india,11,1964.0,R1_40_50.scm,0.30,1964.0
bob-the-tomato,1,14536.0,C10_40_100.scm,0.11,14536.0
bob-the-tomato,2,16439.0,C10_50_300.scm,0.13,16439.0
bob-the-tomato,3,10482.0,C18_100_150.scm,0.16,10482.0
bob-the-tomato,4,10828.0,C18_40_80.scm,0.12,10828.0
bob-the-tomato,5,2474.0,C1_40_150.scm,0.10,2474.0
bob-the-tomato,6,1890.0,C1_50_100.scm,0.10,1890.0
bob-the-tomato,7,10471.0,R18_100_100.scm,0.15,10471.0
bob-the-tomato,8,14149.0,R18_50_300.scm,0.16,14149.0
bob-the-tomato,9,1515.0,R1_100_50.scm,0.15,1515.0
bob-the-tomato,10,2574.0,R1_40_100.scm,0.10,2574.0
bob-the-tomato,11,1960.0,R1_40_50.scm,0.13,1960.0
scoop,1,14536.0,C10_40_100.scm,0.13,14536.0
scoop,2,16439.0,C10_50_300.scm,0.13,16439.0
scoop,3,10482.0,C18_100_150.scm,0.14,10482.0
scoop,4,10828.0,C18_40_80.scm,0.15,10828.0
scoop,5,2474.0,C1_40_150.scm,0.12,2474.0
scoop,6,1890.0,C1_50_100.scm,0.10,1890.0
scoop,7,10471.0,R18_100_100.scm,0.16,10471.0
scoop,8,14149.0,R18_50_300.scm,0.15,14149.0
scoop,9,1515.0,R1_100_50.scm,0.10,1515.0
scoop,10,2574.0,R1_40_100.scm,0.10,2574.0
scoop,11,1960.0,R1_40_50.scm,0.11,1960.0
325b467f0,1,17172.0,C10_40_100.scm,0.12,17172.0
325b467f0,2,20349.0,C10_50_300.scm,0.12,20349.0
325b467f0,3,7390.0,C18_100_150.scm,0.14,7390.0
325b467f0,4,8075.0,C18_40_80.scm,0.13,8075.0
325b467f0,5,4402.0,C1_40_150.scm,0.10,4402.0
325b467f0,6,3168.0,C1_50_100.scm,0.10,3168.0
325b467f0,7,6899.0,R18_100_100.scm,0.14,6899.0
325b467f0,8,12938.0,R18_50_300.scm,0.14,12938.0
325b467f0,9,2024.0,R1_100_50.scm,0.10,2024.0
325b467f0,10,3583.0,R1_40_100.scm,0.10,3583.0
325b467f0,11,2739.0,R1_40_50.scm,0.10,2739.0
BoegK2eDL2,1,14350.0,C10_40_100.scm,0.10,14350.0
BoegK2eDL2,2,16434.0,C10_50_300.scm,0.10,16434.0
BoegK2eDL2,3,10850.0,C18_100_150.scm,0.13,10850.0
BoegK2eDL2,4,10743.0,C18_40_80.scm,0.12,10743.0
BoegK2eDL2,5,2526.0,C1_40_150.scm,0.09,2526.0
BoegK2eDL2,6,1866.0,C1_50_100.scm,0.10,1866.0
BoegK2eDL2,7,10503.0,R18_100_100.scm,0.13,10503.0
BoegK2eDL2,8,14175.0,R18_50_300.scm,0.11,14175.0
BoegK2eDL2,9,1461.0,R1_100_50.scm,0.11,1461.0
BoegK2eDL2,10,2493.0,R1_40_100.scm,0.09,2493.0
BoegK2eDL2,11,1855.0,R1_40_50.scm,0.09,1855.0
papaya,1,14608.0,C10_40_100.scm,0.13,14608.0
papaya,2,16595.0,C10_50_300.scm,0.13,16595.0
papaya,3,10661.0,C18_100_150.scm,0.14,10661.0
papaya,4,11069.0,C18_40_80.scm,0.14,11069.0
papaya,5,2607.0,C1_40_150.scm,0.11,2607.0
papaya,6,1949.0,C1_50_100.scm,0.14,1949.0
papaya,7,10477.0,R18_100_100.scm,0.14,10477.0
papaya,8,14644.0,R18_50_300.scm,0.14,14644.0
papaya,9,1515.0,R1_100_50.scm,0.14,1515.0
papaya,10,2577.0,R1_40_100.scm,0.16,2577.0
papaya,11,1960.0,R1_40_50.scm,0.16,1960.0
internet,1,14536.0,C10_40_100.scm,0.13,14536.0
internet,2,16439.0,C10_50_300.scm,0.13,16439.0
internet,3,10482.0,C18_100_150.scm,0.14,10482.0
internet,4,10828.0,C18_40_80.scm,0.14,10828.0
internet,5,2474.0,C1_40_150.scm,0.11,2474.0
internet,6,1890.0,C1_50_100.scm,0.11,1890.0
internet,7,10471.0,R18_100_100.scm,0.14,10471.0
internet,8,14149.0,R18_50_300.scm,0.14,14149.0
internet,9,1515.0,R1_100_50.scm,0.11,1515.0
internet,10,2574.0,R1_40_100.scm,0.11,2574.0
internet,11,1960.0,R1_40_50.scm,0.11,1960.0
chambers,1,3576.0,C10_40_100.scm,1.45,3576.0
chambers,2,3776.0,C10_50_300.scm,1.27,3776.0
chambers,3,3194.0,C18_100_150.scm,4.58,3194.0
chambers,4,3106.0,C18_40_80.scm,4.92,3106.0
chambers,5,1239.0,C1_40_150.scm,0.34,1239.0
chambers,6,1152.0,C1_50_100.scm,0.30,1152.0
chambers,7,3131.0,R18_100_100.scm,3.36,3131.0
chambers,8,3371.0,R18_50_300.scm,5.02,3371.0
chambers,9,1060.0,R1_100_50.scm,0.27,1060.0
chambers,10,1152.0,R1_40_100.scm,0.32,1152.0
chambers,11,1060.0,R1_40_50.scm,0.31,1060.0
ObaKNdFyCH,1,14540.0,C10_40_100.scm,1.25,14540.0
ObaKNdFyCH,2,16481.0,C10_50_300.scm,1.20,16481.0
ObaKNdFyCH,3,10560.0,C18_100_150.scm,4.04,10560.0
ObaKNdFyCH,4,10836.0,C18_40_80.scm,4.33,10836.0
ObaKNdFyCH,5,2502.0,C1_40_150.scm,0.44,2502.0
ObaKNdFyCH,6,1937.0,C1_50_100.scm,0.46,1937.0
ObaKNdFyCH,7,10532.0,R18_100_100.scm,4.18,10532.0
ObaKNdFyCH,8,14175.0,R18_50_300.scm,4.43,14175.0
ObaKNdFyCH,9,1558.0,R1_100_50.scm,0.37,1558.0
ObaKNdFyCH,10,2611.0,R1_40_100.scm,0.46,2611.0
ObaKNdFyCH,11,1964.0,R1_40_50.scm,0.42,1964.0
kitchenappliances,1,14536.0,C10_40_100.scm,0.18,14536.0
kitchenappliances,2,16439.0,C10_50_300.scm,0.16,16439.0
kitchenappliances,3,10482.0,C18_100_150.scm,0.18,10482.0
kitchenappliances,4,10828.0,C18_40_80.scm,0.20,10828.0
kitchenappliances,5,2474.0,C1_40_150.scm,0.14,2474.0
kitchenappliances,6,1890.0,C1_50_100.scm,0.11,1890.0
kitchenappliances,7,10471.0,R18_100_100.scm,0.19,10471.0
kitchenappliances,8,14149.0,R18_50_300.scm,0.17,14149.0
kitchenappliances,9,1515.0,R1_100_50.scm,0.14,1515.0
kitchenappliances,10,2574.0,R1_40_100.scm,0.13,2574.0
kitchenappliances,11,1960.0,R1_40_50.scm,0.11,1960.0
